,Scientific Names,CommonName,Region,Country,Average_Weight,Status,HomeRange_ha,Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky_areas,Habitat_Desert,Home_Range_log,AverageWeight_log,Locomotion_BOTH,Locomotion_T,DielActivity_D,DielActivity_N,TrophicGuild_Folivore,TrophicGuild_Frugivore,TrophicGuild_Gummivore,TrophicGuild_Insectivore,TrophicGuild_Omnivore
0,Hylobatidae Hylobates,Agile Gibbon,South East Asia,Indonesia,6.0,3,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.367295829986474,1.791759469228055,0,0,1,0,0,1,0,0,0
1,Cercopithecidae Cercocebus,Agile Mangabey,North West Africa,CÃ´te dÂIvoire,7.58,0,303.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.713732805509369,2.0255131996542803,1,0,1,0,0,1,0,0,0
2,Atelidae Alouatta,Amazon Black Howler,South America,Brazil,6.45,0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.2188758248682006,1.864080130807681,0,0,1,0,0,0,0,0,0
3,Aotidae Aotus,Andean Night Monkey,South America,Brazil,0.8,2,1.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20701416938432612,-0.2231435513142097,0,0,0,1,0,0,0,0,1
4,Lepilemuridae Lepilemur,Andohahela Sportive Lemur,Madagascar,Madagascar,0.89,4,5.16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6409365794934714,-0.11653381625595151,0,0,0,1,1,0,0,0,0
5,Cercopithecidae Colobus,Angolan Colobus,Central Africa,Rwanda,8.6,0,371.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.916202062607435,2.151762203259462,0,0,1,0,1,0,0,0,0
6,Lepilemuridae Lepilemur,Ankarana Sportive Lemur,Madagascar,Madagascar,0.77,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2613647641344075,0,0,0,1,0,0,0,0,0
7,Cercopithecidae Macaca,Arunachal Macaque,South East Asia,India,15.0,3,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258096538021482,2.70805020110221,1,0,1,0,1,0,0,0,0
8,Cercopithecidae Piliocolobus,Ashy Red Colobus,Central Africa,Uganda,8.75,3,308.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.731721843345443,2.169053700369523,0,0,1,0,1,0,0,0,0
9,Cercopithecidae Macaca,Assamese Macaque,South East Asia,Thailand,9.0,1,433.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.071891796220597,2.1972245773362196,0,0,1,0,0,1,0,0,0
10,Daubentoniidae Daubentonia,Aye aye,Madagascar,Madagascar,2.56,3,102.95,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.634243433473799,0.9400072584914712,0,0,0,1,0,0,0,1,0
11,Aotidae Aotus,Azara s Night Monkey,South America,Colombia,1.21,0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.9459101490553132,0.1906203596086497,0,0,0,0,0,0,0,0,1
12,Pitheciidae Cacajao,Bald Uacari,South America,Brazil,3.17,2,493.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.20050917404269,1.1537315878891892,0,0,1,0,0,1,0,0,0
13,Cercopithecidae Chlorocebus,Bale Monkey,East Africa,Ethiopia,3.98,2,15.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7212954278522306,1.3812818192963463,1,0,1,0,1,0,0,0,0
14,Cercopithecidae Presbytis,Banded Langur,South East Asia,Indonesia,6.22,1,24.85,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.2128577525426376,1.827769906751088,0,0,1,0,0,0,0,0,0
15,Cercopithecidae Macaca,Barbary Macaque,North Africa,Morocco,13.5,3,725.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,6.586171654854675,2.6026896854443837,1,0,1,0,0,0,0,0,1
16,Cebidae Sapajus,Bearded Capuchin,South America,Brazil,2.54,0,300.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.703782474656201,0.9321640810304452,0,0,1,0,0,0,0,0,1
17,Indriidae Avahi,Bemaraha Woolly Lemur,Madagascar,Madagascar,1.03,3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.02955880224154443,0,0,0,1,1,0,0,0,0
18,Cercopithecidae Semnopithecus,Bengal Sacred Langur,South East Asia,India,11.44,0,82.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.412798293340635,2.437115985951652,0,1,1,0,0,0,0,0,0
19,Lorisidae Nycticebus,Bengal Slow Loris,South East Asia,India,1.26,2,15.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.747270914255491,0.23111172096338664,0,0,0,1,0,0,1,0,0
20,Galagidae Sciurocheirus,Bioko Squirrel Galago,West Africa,Angola,0.27,3,2.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8544153281560676,-1.3093333199837622,0,0,0,1,0,1,0,0,0
21,Pitheciidae Chiropotes,Black Bearded Saki,Central America,Surinam,3.03,4,58.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.060443010546419,1.1085626195212777,0,0,1,0,0,1,0,0,0
22,Cercopithecidae Colobus,Black Colobus,North West Africa,Cameroon,8.91,2,573.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35088571671474,2.187174241482718,0,0,1,0,0,1,0,0,0
23,Lemuridae Eulemur,Black Lemur,Madagascar,Madagascar,2.063333333333333,2,19.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9496883350525844,0.7243227980283949,0,0,0,0,0,1,0,0,0
24,Callitrichidae Leontopithecus,Black Lion Tamarin,South America,Brazil,0.615,3,138.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.927253685157205,-0.4861330111756192,0,0,1,0,0,1,0,0,0
25,Atelidae Ateles,Black Spider Monkey,South America,Bolivia,9.37,3,192.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2574953720277815,2.2375130962503307,0,0,1,0,0,1,0,0,0
26,Lemuridae Varecia,Black and white Ruffed Lemur,Madagascar,Madagascar,3.58,4,116.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.759349436835766,1.275362800412609,0,0,1,0,0,1,0,0,0
27,Cebidae Saimiri,Black capped Squirrel Monkey,South America,Brazil,0.88,0,375.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.926926025970411,-0.12783337150988489,0,0,1,0,0,0,0,0,1
28,Cercopithecidae Presbytis,Black crested Sumatran Langur,South East Asia,Indonesia,6.53,3,22.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.091042453358316,1.8764069432883397,0,0,1,0,0,0,0,0,0
29,Callitrichidae Leontopithecus,Black faced Lion Tamarin,South America,Peru,0.58,4,345.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84354441703136,-0.5447271754416722,0,0,1,0,0,1,0,0,0
30,Aotidae Aotus,Black headed Night Monkey,South America,Brazil,0.96,0,10.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3513752571634776,-0.040821994520255166,0,0,0,1,0,1,0,0,0
31,Cebidae Saimiri,Black headed Squirrel Monkey,South America,Guiana,0.8,2,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.382026634673881,-0.2231435513142097,0,0,1,0,0,0,0,0,1
32,Cebidae Sapajus,Black horned Capuchin,South America,Brazil,3.7,1,161.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081404364984463,1.308332819650179,0,0,1,0,0,0,0,0,1
33,Callitrichidae Leontocebus,Black mantled tamarin,Central America,Ecuador,0.48,0,49.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.8918202981106265,-0.7339691750802004,0,0,1,0,0,0,0,0,1
34,Cercopithecidae Pygathrix,Black shanked Douc,South East Asia,Vietnam,9.88,3,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4011973816621555,2.2905125117597764,0,0,1,0,0,0,0,0,0
35,Callitrichidae Mico,Black tailed Marmoset,South America,Brazil,0.22,0,429.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.06262174142431,-1.5141277326297755,0,0,1,0,0,0,0,0,1
36,Callitrichidae Callithrix,Black tufted ear Marmoset,South America,Brazil,0.33,0,12.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5494451709255714,-1.1086626245216111,0,0,1,0,0,0,1,0,0
37,Cebidae Sapajus,Blond Capuchin,South America,Brazil,2.55,4,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9318256327243257,0.9360933591703348,0,0,1,0,0,0,0,0,1
38,Pitheciidae Callicebus,Blond Titi,South America,Brazil,1.15,4,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.912023005428146,0.13976194237515863,0,0,1,0,0,0,1,0,0
39,Cercopithecidae Cercopithecus,Blue Monkey,South Africa,South Africa,4.89,0,175.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1647859739235145,1.5871923034867805,0,0,1,0,0,1,0,0,0
40,Lemuridae Eulemur,Blue eyed Black Lemur,Madagascar,Madagascar,1.82,4,5.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6639260977181702,0.598836501088704,0,0,0,0,0,0,0,0,0
41,Cercopithecidae Macaca,Bonnet Macaque,South East Asia,Indonesia,5.14,0,26.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.258096538021482,1.6370530794670737,1,0,1,0,0,1,0,0,0
42,Hominidae Pan,Bonobo,West Africa,Congo,39.1,3,4000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.294049640102028,3.66612246699132,1,0,1,0,0,0,0,0,1
43,Cercopithecidae Macaca,Booted Macaque,South East Asia,Indonesia,3.95,2,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04305126783455,1.3737155789130306,1,0,1,0,0,1,0,0,0
44,Hominidae Pongo,Bornean Orangutan,South East Asia,Borneo,57.15,4,409.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.014936903293124,4.04567939024082,0,0,1,0,0,1,0,0,0
45,Hylobatidae Hylobates,Bornean White bearded Gibbon,South East Asia,Borneo,5.95,3,53.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.970291913552122,1.7833912195575383,0,0,1,0,0,1,0,0,0
46,Atelidae Alouatta,Brown Howler,South America,Brazil,5.54,0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258096538021482,1.7119945007591924,0,0,1,0,0,0,0,0,0
47,Lemuridae Eulemur,Brown Lemur,Madagascar,Madagascar,2.05,1,16.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.785011242238338,0.7178397931503168,0,0,0,0,0,0,0,0,0
48,Pitheciidae Plecturocebus,Brown Titi,South America,Peru,0.83,0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3609765531356006,-0.18632957819149348,0,0,1,0,0,1,0,0,0
49,Aotidae Aotus,Brumback s Night Monkey,South America,Colombia,0.67,2,17.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.8622008809294686,-0.40047756659712525,0,0,0,1,0,0,0,0,1
50,Pitheciidae Pithecia,Buffy Saki,South America,Brazil,3.0,0,172.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.149817358229593,1.0986122886681098,0,0,1,0,0,1,0,0,0
51,Callitrichidae Callithrix,Buffy headed Marmoset,South America,Brazil,0.43,3,35.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56953269648137,-0.843970070294529,0,0,1,0,0,0,1,0,0
52,Callitrichidae Callithrix,Buffy tufted ear Marmoset,South America,Brazil,0.44,2,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3978952727983707,-0.8209805520698302,0,0,1,0,0,0,0,0,1
53,Lorisidae Arctocebus,Calabar Angwantibo,West Africa,Congo,0.31,0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.302585092994046,-1.171182981502945,0,0,0,1,0,0,0,1,0
54,Cercopithecidae Cercopithecus,Campbell s Monkey,North West Africa,CÃ´te dÂIvoire,3.6,0,72.375,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.281860935893159,1.2809338454620642,0,0,1,0,0,0,0,0,1
55,Cercopithecidae Trachypithecus,Capped Langur,South East Asia,Bangladesh,10.93,2,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8903717578961645,2.391511302188447,0,0,1,0,1,0,0,0,0
56,Cercopithecidae Trachypithecus,Cat Ba Langur,South East Asia,Vietnam,8.05,4,30.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.4011973816621555,2.0856720914304723,1,0,1,0,1,0,0,0,0
57,Atelidae Alouatta,Central American Black Howler,Central America,Belize,6.56,3,16.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8249439525737094,1.8809906029559975,0,0,1,0,0,0,0,0,0
58,Atelidae Ateles,Central American Spider Monkey,Central America,Ecuador,7.54,3,388.09714285714284,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.961255676474901,2.020222182019865,0,0,1,0,0,1,0,0,0
59,Cebidae Saimiri,Central American Squirrel Monkey,Central America,Panama,0.79,2,176.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.170483995038151,-0.23572233352106983,0,0,1,0,0,0,0,0,1
